 x_m, y_m, vx_mps,# s_m, psi_rad, kappa_radpm, ax_mps2
-46.8552833,1.2669033,7.7042189,72.4780231,-3.1289989,-0.2436295,3.2742165
-46.8718876,0.7855032,7.8410006,72.9778715,3.0702813,-0.1153209,3.3472484
-46.9189552,0.278254,7.9777824,73.47772,3.0353285,-0.0267853,3.4202803
-46.9748124,-0.2433079,8.1145642,73.9775684,3.0409048,0.0470622,3.4933122
-47.0177859,-0.7676459,8.2513459,74.4774168,3.0854948,0.1244854,1.9594442
-47.0258726,-1.2960527,8.3755847,74.9772653,-3.1090824,0.1942681,-2.7394218
-46.9789101,-1.8411425,8.4632339,75.4771137,-3.0018543,0.1982846,-2.6957341
-46.8785837,-2.3559884,8.5508831,75.9769621,-2.8955753,0.2080237,-2.6520465
-46.7313172,-2.833236,8.6385323,76.4768106,-2.7874512,0.226737,-2.6083588
-46.5435344,-3.2655309,8.7261814,76.976659,-2.6736023,0.2592953,-2.643576
-46.3214168,-3.645878,8.8138306,77.4765075,-2.5484949,0.3137904,-18.8431264
-46.0072833,-4.0325804,7.6154301,77.9763559,-2.3593837,0.4429116,-16.0759349
-45.6389172,-4.3283387,6.4148644,78.4762043,-2.1298802,0.5090225,-13.3087435
-45.2040004,-4.5323307,5.2142986,78.9760528,-1.8933132,0.4549297,-10.541552
-44.6902152,-4.6437345,4.0137328,79.4759012,-1.6866092,0.3281974,1.202771
-44.2197089,-4.6655579,4.0358406,79.9757496,-1.5542308,0.2449956,5.4855897
-43.7533527,-4.6325366,4.5150456,80.4755981,-1.4484879,0.2124765,6.2774511
-43.2645977,-4.5466745,4.9942507,80.9754465,-1.3460422,0.2033848,7.0693125
-42.7686622,-4.4054046,5.4734558,81.4752949,-1.2399514,0.210158,7.861174
-42.2807642,-4.20616,5.9526608,81.9751434,-1.1245323,0.2294687,8.6530354
-41.816122,-3.9463737,6.4318659,82.4749918,-0.9948123,0.2589778,4.7229747
-41.4210836,-3.651992,6.6664913,82.9748402,-0.8670486,0.2503078,3.7064218
-41.0697557,-3.3160957,6.8671277,83.4746887,-0.7503146,0.229816,3.8243109
-40.7543651,-2.9380947,7.0677641,83.9745371,-0.6419608,0.2105667,3.9421999
-40.4761455,-2.5232857,7.2684005,84.4743855,-0.5410232,0.1940003,4.0600889
-40.2363307,-2.0769652,7.4690369,84.974234,-0.4461986,0.1807797,4.177978
-40.0361544,-1.6044299,7.6696734,85.4740824,-0.3560353,0.1710968,3.8767764
-39.8779764,-1.1150641,7.8201992,85.9739309,-0.2698193,0.1634523,2.3078821
-39.7637566,-0.6266603,7.9299135,86.4737793,-0.1905064,0.153211,2.3406942
-39.687169,-0.1285716,8.0396279,86.9736277,-0.1152423,0.1459208,2.3735063
-39.6474265,0.3744588,8.1493423,87.4734762,-0.0428028,0.1416401,2.4063184
-39.6437419,0.8776879,8.2590567,87.9733246,0.0280586,0.140443,2.4391305
-39.6753281,1.3763728,8.368771,88.473173,0.0986204,0.1424868,2.4719426
-39.7413982,1.8657703,8.4743906,88.9730215,0.1702204,0.1480587,2.2134139
-39.8441588,2.3532174,8.5508617,89.4728699,0.2457527,0.1519922,1.6602188
-39.9880543,2.8458913,8.6273328,89.9727183,0.3219119,0.144199,1.674369
-40.1650628,3.3196506,8.7038039,90.4725668,0.3923519,0.1339415,1.6885192
-40.3711908,3.775238,8.7802749,90.9724152,0.4564269,0.1220653,1.7026694
-40.6024449,4.2133962,8.856746,91.4722636,0.5137757,0.1092913,1.7168196
-40.8548317,4.6348681,8.9261674,91.9721121,0.5642536,0.0961405,1.7309698
-41.124358,5.0403965,8.978133,92.4719605,0.6078553,0.0829157,1.2064619
-41.4212588,5.4493926,9.0300985,92.9718089,0.6470846,0.0722222,1.1897166
-41.730984,5.8449721,9.082064,93.4716574,0.680467,0.0604826,1.1962368
-42.0507934,6.2288926,9.1340296,93.9715058,0.7075803,0.0479183,1.2027571
-42.3785261,6.6037446,9.1859951,94.4713543,0.7281981,0.0348225,1.2092773
-42.712021,6.9721184,9.2274602,94.9712027,0.7421811,0.0214176,1.2157975
-43.0491174,7.3366043,9.2620323,95.4710511,0.7494539,0.007866,0.8680869
-43.3904254,7.7023879,9.2966045,95.9708996,0.7517172,0.0020866,0.8251283
-43.7323948,8.0681137,9.3311766,96.470748,0.7515695,-0.0026785,0.8280822
-44.0736732,8.4340831,9.3657487,96.9705964,0.7490336,-0.0074618,0.8310362
-44.4132505,8.8009646,9.4003209,97.4704449,0.744101,-0.0122801,0.8339902
-44.7501168,9.1694269,9.4283631,97.9702933,0.7367577,-0.0171481,0.8369441
-45.083262,9.5401386,9.4523455,98.4701417,0.7269855,-0.022078,0.6141731
-45.4138847,9.9160052,9.476328,98.9699902,0.7160796,-0.0206143,0.5802058
-45.7404276,10.2950453,9.5003105,99.4698386,0.7063963,-0.0180861,0.5816098
-46.0631836,10.6766129,9.5242929,99.969687,0.6979988,-0.0155127,0.5830138
-46.3827703,11.0604267,9.5482754,100.4695355,0.6909008,-0.0129057,0.5844177
-46.6998057,11.4462051,9.5680304,100.9693839,0.6851124,-0.0102757,0.5858217
-47.0149076,11.8336666,9.5847426,101.4692323,0.6806402,-0.0076328,0.4267202
-47.3278983,12.2215888,9.6014548,101.9690808,0.67729,-0.0059143,0.4069229
-47.6399006,12.6106278,9.6181669,102.4689292,0.6747397,-0.0043144,0.4075953
-47.9514074,13.0007667,9.6348791,102.9687777,0.6729844,-0.0027184,0.4082676
