?,Raceline,Speed changing,,,,,,,,,,
Explain variance,0.96636051,0.96350834,0.97235374,0.97445889,0.96946702,0.97305385,0.97075402,0.97017005,0.97160205,0.97542558,0.97143887,0.96869692
,,,,,,,,,,,,
,,,,,,,,,,,,
YasMarina/Half,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,28.28,36.98,44.5,21.53,16.34,39.35,45.07,8.15,25.85,51.78,81.62,64.49
RMSE,0.150681,0.15249075,0.13193171,0.13893185,0.14266632,0.13855614,0.13156092,0.14360832,0.13994474,0.13873352,0.13461153,0.1399098
R2,0.94282797,0.94144639,0.95617065,0.95139619,0.94874815,0.95165871,0.95641667,0.9480691,0.95068491,0.95153486,0.95437202,0.95070953
Explain variance,0.94869127,0.94720501,0.96305785,0.96040665,0.95799415,0.95894999,0.96427924,0.95732747,0.95984088,0.96055635,0.96152908,0.95986223
,,,,,,,,,,,,
,,,,,,,,,,,,
YasMarina/One-third,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RQ * RBF,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,14.9,15.2,7.94,10.1,11.78,17.13,34.73,1.68,14.28,13.1,44.94,24.04
RMSE,0.16590186,0.17790263,0.15519895,0.1622201,0.1592975,0.17668662,0.1471198,0.15929198,0.16220159,0.16227096,0.15639401,24.04
R2,0.92832798,0.91758394,0.93727732,0.93147384,0.93392076,0.91870676,0.94363762,0.93392535,0.93148948,0.93143086,0.93630764,0.93390303
Explain variance,0.93629642,0.92564996,0.94576344,0.94221634,0.94438856,0.92676845,0.95229169,0.94439199,0.94223611,0.94218526,0.94504775,0.9443761
,,,,,,,,,,,,
,,,,,,,,,,,,
?,Centerline,Speed changing,,,,,,,,,,
YasMarina/Full,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,112.15,178.36,231.98,100.95,112.5,151.01,409.64,68,412.22,229.04,536.64,399.96
RMSE,0.14042693,0.17828651,0.16223423,0.15775765,0.13507984,0.17536825,0.13122328,0.15575363,0.14114843,0.15233448,0.16565131,0.14110853
R2,0.97113788,0.94056816,0.95078843,0.95346679,0.96588359,0.94249784,0.96780385,0.95464151,0.96274931,0.9566111,0.94869355,0.96277037
Explain variance,0.97113788,0.94519819,0.95619988,0.95937663,0.97305015,0.94709636,0.97505359,0.9634865,0.96923938,0.96282471,0.95401323,0.96926123
,,,,,,,,,,,,
,,,,,,,,,,,,
YasMarina/Half,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,38.97,23.8,32.07,9.99,27.43,62.81,76.9,13.77,49.49,60.7,96.8,77.17
RMSE,0.18957992,0.19184029,0.1702553,0.17302985,0.21083154,0.18282821,0.23911323,0.20025018,0.1768515,0.17183621,0.1746142,0.17911695
R2,0.93095491,0.92929864,0.94431356,0.9424838,0.91460758,0.93578529,0.89016131,0.92296396,0.93991506,0.94327461,0.94142568,0.93836584
Explain variance,0.93698412,0.93532721,0.95063994,0.94892374,0.92331932,0.94190637,0.89920122,0.93019507,0.94651921,0.94958491,0.94782465,0.94512061
,,,,,,,,,,,,
,,,,,,,,,,,,
YasMarina/One-third,RBF + Periodic,RBF + Linear,RQ + Linear,Matern + Linear,Matern + PERIODIC,RQ + PERIODIC ,RBF * RQ,Matern * PERIODIC,Matern * RBF,Matern * Linear,RQ * Linear,RQ * Matern
Time,11.8,17.23,24.93,7.05,8.22,22.91,22.94,2.38,29.41,19.96,36.98,19.78
RMSE,0.2187575,0.22565663,0.19524906,0.18655676,0.2218047,0.21875422,0.18626971,0.22641676,0.18552965,0.18226916,0.19878316,0.18552904
R2,0.90608451,0.90006732,0.9251849,0.93169802,0.90344987,0.90608732,0.93190804,0.89939293,0.93244803,0.93480148,0.92245201,0.93244848
